exchange,symbol,ticker,name,isin,currency,source,asof_date
NSE,ALEMBICLTD,ALEMBICLTD.NS,Alembic Limited,INE426A01027,INR,NSE:EQUITY_L,2026-02-18
NSE,ALGOQUANT,ALGOQUANT.NS,Algoquant Fintech Limited,INE598D01035,INR,NSE:EQUITY_L,2026-02-18
NSE,ALICON,ALICON.NS,Alicon Castalloy Limited,INE062D01024,INR,NSE:EQUITY_L,2026-02-18
NSE,ALIVUS,ALIVUS.NS,Alivus Life Sciences Limited,INE03Q201024,INR,NSE:EQUITY_L,2026-02-18
NSE,ALKALI,ALKALI.NS,Alkali Metals Limited,INE773I01017,INR,NSE:EQUITY_L,2026-02-18
NSE,ALKEM,ALKEM.NS,Alkem Laboratories Limited,INE540L01014,INR,NSE:EQUITY_L,2026-02-18
NSE,ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,INE150B01039,INR,NSE:EQUITY_L,2026-02-18
NSE,ALLCARGO,ALLCARGO.NS,Allcargo Logistics Limited,INE418H01029,INR,NSE:EQUITY_L,2026-02-18
NSE,ALLDIGI,ALLDIGI.NS,Alldigi Tech Limited,INE835G01018,INR,NSE:EQUITY_L,2026-02-18
NSE,ALLTIME,ALLTIME.NS,All Time Plastics Limited,INE0GV601021,INR,NSE:EQUITY_L,2026-02-18
NSE,ALMONDZ,ALMONDZ.NS,Almondz Global Securities Limited,INE326B01035,INR,NSE:EQUITY_L,2026-02-18
NSE,ALOKINDS,ALOKINDS.NS,Alok Industries Limited,INE270A01029,INR,NSE:EQUITY_L,2026-02-18
NSE,ALPA,ALPA.NS,Alpa Laboratories Limited,INE385I01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ALPHAGEO,ALPHAGEO.NS,Alphageo (India) Limited,INE137C01018,INR,NSE:EQUITY_L,2026-02-18
NSE,AMAGI,AMAGI.NS,Amagi Media Labs Limited,INE121R01077,INR,NSE:EQUITY_L,2026-02-18
NSE,AMANTA,AMANTA.NS,Amanta Healthcare Limited,INE084K01015,INR,NSE:EQUITY_L,2026-02-18
NSE,AMBER,AMBER.NS,Amber Enterprises India Limited,INE371P01015,INR,NSE:EQUITY_L,2026-02-18
NSE,AMBICAAGAR,AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,INE792B01012,INR,NSE:EQUITY_L,2026-02-18
NSE,AMBIKCO,AMBIKCO.NS,Ambika Cotton Mills Limited,INE540G01014,INR,NSE:EQUITY_L,2026-02-18
NSE,AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Limited,INE079A01024,INR,NSE:EQUITY_L,2026-02-18
